id,entity,severity,kind,field_or_issue,wanted_shape,what_exists_today,blocks,workaround_in_repo,evidence
ART-07,Article,high,broken-endpoint,GET /api/Articles/by-company/{id},Paged list of a company article archive,"500: ""The required column 'Sectors' was not present in the results of a 'FromSql' operation.""","Company press-release archive. Falls back to the legacy feed, which is currently 503 - so the archive has no working source.","services/company-articles.ts tries legacy first, then this endpoint; both currently fail",Live probe 2026-08-27: HTTP 500 for company 82
ART-08,Article,medium,missing-endpoint,GET /api/Articles/{id}/versions,Sibling language/revision releases for one story,404 - the endpoint does not exist,Language switching and version history on a release,services/release-versions.ts infers siblings client-side and documents the wanted endpoint in a comment,Live probe: HTTP 404
ART-09,Article,medium,missing-field,releaseGroupId,Stable id shared by all language versions of one release,Not present on any endpoint,The only reliable way to group translations; without it grouping is heuristic,services/release-versions.ts names /api/Articles?releaseGroupId={id} as the fix,services/release-versions.ts lines 35-36 and 101
ART-10,Article,medium,encoding,HTML entities in text fields,Decoded UTF-8,"headline and summary arrive entity-encoded: ""&amp;"", ""&apos;"", ""&quot;"" - in fields that are not HTML",Raw entities render visibly unless every consumer decodes,lib/utils.ts decodeHtmlEntities() and lib/sanitize.ts,Live probe: headline of article 109486 contains &amp; and &apos;
CO-01,Company,medium,missing-field,"headquarters address, phone, fax, email",Populated strings,"Fields exist on /api/Companies/{id}/details (addr1-4, telephone, facsimile, email) but were all null for company 82",Contact Details card on the company page renders empty,services/company-profile.ts omits empty rows; src/data/company-profiles.ts holds curated overrides,"Live probe: 24 detail fields, 18 of them null for company 82"
CO-02,Company,medium,missing-field,"established, listed, employees",Populated strings,Fields exist but were null for company 82,Identity card facts on the company page,src/data/company-profiles.ts curated data,Live probe: null for company 82
CO-03,Company,low,naming,company id and name field names,Consistent naming,companyId / companyNameEN on /api/Companies/{id}; comp_ID / company_Name on the legacy CompanyModel; companyID inside article.companies[]; companyId inside /api/Articles list companies[],Four spellings of the same two fields,services/acn-adapter.ts normalises,Live probe + swagger.json CompanyModel
CO-04,Company,medium,missing-endpoint,company list / directory,Paged company index,Legacy GetAllCompany and GetCompanyByAlphabet exist in swagger but the whole legacy API is 503; the new API has no company list endpoint,An A-Z company directory cannot be built,None,swagger.json paths + live probe 503
TAX-01,Sector,high,value-mismatch,sector name spellings,One vocabulary shared by API and frontend,"API returns comma forms - ""Construct, Engineering"", ""Environment, ESG"", ""Energy, Alternatives"", ""EVs, Transportation"", ""Telecoms, 5G"". lib/sectors.ts has the space forms - ""Construct Engineering"", ""Environment ESG"".","Exact-match sector filters return nothing, and getSectorCategory() maps these articles to no category at all, so they are missing from homepage category rows",None - lib/sector-mapper.ts startsWith() check fails in both directions,"Measured 2026-08-27: /search?sec=Construct+Engineering returns 0 articles, ?sec=Construct,+Engineering returns 9. Roughly 28 prefetched articles affected."
TAX-02,Sector,medium,unused-endpoint,GET /api/v1/Sector/GetSectors,Live taxonomy,Exists in swagger (SectorNameModel with nested IndustryModel) but the frontend hardcodes the taxonomy,Taxonomy drift between API and frontend - the direct cause of TAX-01,lib/sectors.ts is a static master list of 79 sectors,swagger.json + lib/sectors.ts header comment
INF-01,All,critical,outage,entire legacy API is 503,Reachable,"Every /acnnewswireapi/api/v1/* path returned HTTP 503 (IIS ""Service Unavailable"") on repeated attempts with and without a browser User-Agent",Company press-release archive (its only working source) and the article detail fallback,None. Locally the company page still renders because Next served cached responses from before the outage - the failure is masked in dev.,"Live probe 2026-08-27: 6 legacy endpoints, 3 curl retries each, all 503"
INF-02,All,medium,no-pagination-metadata,total count on list endpoints,total / page / pageSize in the response,"Bare arrays with no envelope, so there is no total","Cannot show ""page 3 of 12"" or a result count","services/company-articles.ts requests one row of the next page just to answer ""is there a next page""",Live probe: every list endpoint returns a bare JSON array
INF-03,All,low,inconsistent-casing,query parameter casing,Consistent,"Page/Size on /api/Articles and /api/Articles/search, but pageNumber/pageSize on /api/Events and /api/Articles/by-industry",Easy to pass the wrong pair and silently get defaults,Each service hardcodes the right pair,"services/events.ts, news-list.ts, reading-mode.ts, company-profile.ts"
